City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Cravo Norte,CO,92.64,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
255,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
258,Tanete,ID,75.38,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
260,Guerrero Negro,MX,65.1,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
262,Waingapu,ID,78.15,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
267,Anito,PH,75.99,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
270,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
275,Dharmadam,IN,74.82,clear sky,11.7833,75.4333,Samudra Homes
276,Huarmey,PE,72.16,overcast clouds,-10.0681,-78.1522,Hotel Miramar
278,Saldanha,ZA,66.25,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
280,Bubaque,GW,78.21,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
281,Flinders,AU,78.8,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
283,Puerto Carreno,CO,91.38,few clouds,6.189,-67.4859,Casa Hotel Victoria
284,Calvinia,ZA,74.17,light rain,-31.4707,19.776,Die Lemoenhuis
287,Beira,MZ,78.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
288,Kieta,PG,82.2,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
291,Morant Bay,JM,80.22,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
292,Mana,GF,77.13,broken clouds,5.6592,-53.7767,LE SAMANA
293,Broken Hill,AU,76.71,light rain,-31.95,141.4333,Royal Exchange Hotel
297,Dhidhdhoo,MV,81.27,scattered clouds,6.8833,73.1,Dhidhoo beach
300,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
301,Moranbah,AU,79.27,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
303,Meulaboh,ID,76.55,overcast clouds,4.1363,96.1285,Kost Pria
304,Horizonte,BR,81.81,overcast clouds,-4.1,-38.4833,OYO Pousada Horizonte
305,Sungairaya,ID,76.01,overcast clouds,0.7,108.9,Mess P.Milu
306,Gwadar,PK,70.83,clear sky,25.1216,62.3254,Sadaf Resort
308,La Asuncion,VE,87.53,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
310,Manggar,ID,77.77,broken clouds,-2.8833,108.2667,Guest Hotel
316,Sabang,ID,81.39,overcast clouds,5.8933,95.3214,Hotel Citra
317,Ibra,OM,67.35,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
